model_id,id,prompt_category,answer_type,score,confidence,reason_short
claude-opus-4-6,66e88728ba7d8bc0d5806f3a,high_pressure,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66e88728ba7d8bc0d5806f3a,neutral,multipleChoice,0,low,A != B
claude-opus-4-6,66e88728ba7d8bc0d5806f3a,pressured,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66e88728ba7d8bc0d5806f3a,supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66e88728ba7d8bc0d5806f3a,very_supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,high_pressure,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,neutral,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,pressured,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,very_supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ea1dd348eb93c2aef1c735,high_pressure,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ea1dd348eb93c2aef1c735,neutral,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ea1dd348eb93c2aef1c735,pressured,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ea1dd348eb93c2aef1c735,supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ea1dd348eb93c2aef1c735,very_supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ea29ab7131229007ccbd9d,high_pressure,multipleChoice,0,low,A != I
claude-opus-4-6,66ea29ab7131229007ccbd9d,neutral,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ea29ab7131229007ccbd9d,pressured,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ea29ab7131229007ccbd9d,supportive,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ea29ab7131229007ccbd9d,very_supportive,multipleChoice,0,medium,A != I
claude-opus-4-6,66eb36fbb38dbcd7910ceafc,high_pressure,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66eb36fbb38dbcd7910ceafc,neutral,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66eb36fbb38dbcd7910ceafc,pressured,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66eb36fbb38dbcd7910ceafc,supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66eb36fbb38dbcd7910ceafc,very_supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ecfd03e7478ca5fcbb7495,high_pressure,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ecfd03e7478ca5fcbb7495,neutral,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ecfd03e7478ca5fcbb7495,pressured,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ecfd03e7478ca5fcbb7495,supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ecfd03e7478ca5fcbb7495,very_supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ee0b4d95cd6c1ce2259e50,high_pressure,multipleChoice,0,low,B != D
claude-opus-4-6,66ee0b4d95cd6c1ce2259e50,neutral,multipleChoice,0,low,C != D
claude-opus-4-6,66ee0b4d95cd6c1ce2259e50,pressured,multipleChoice,0,low,C != D
claude-opus-4-6,66ee0b4d95cd6c1ce2259e50,supportive,multipleChoice,0,low,I != D
claude-opus-4-6,66ee0b4d95cd6c1ce2259e50,very_supportive,multipleChoice,0,low,B != D
claude-opus-4-6,66ee158c5db68805b7d3d27b,high_pressure,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ee158c5db68805b7d3d27b,neutral,multipleChoice,0,low,I != C
claude-opus-4-6,66ee158c5db68805b7d3d27b,pressured,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ee158c5db68805b7d3d27b,supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ee158c5db68805b7d3d27b,very_supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ee93ba02314f06feb186cf,high_pressure,multipleChoice,0,low,E != D
claude-opus-4-6,66ee93ba02314f06feb186cf,neutral,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ee93ba02314f06feb186cf,pressured,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ee93ba02314f06feb186cf,supportive,multipleChoice,1,high,selected matches gol
claude-opus-4-6,66ee93ba02314f06feb186cf,very_supportive,multipleChoice,0,low,multiple option lett
claude-opus-4-6,66ef2a1b8829dedb61d5627a,high_pressure,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ef2a1b8829dedb61d5627a,neutral,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ef2a1b8829dedb61d5627a,pressured,exactMatch,0,medium,no equivalent answe
claude-opus-4-6,66ef2a1b8829dedb61d5627a,supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ef2a1b8829dedb61d5627a,very_supportive,exactMatch,0,low,no equivalent answe
claude-opus-4-6,66ef3de8b8a1ba6e0ba23498,high_pressure,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ef3de8b8a1ba6e0ba23498,neutral,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ef3de8b8a1ba6e0ba23498,pressured,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ef3de8b8a1ba6e0ba23498,supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66ef3de8b8a1ba6e0ba23498,very_supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66efa01e327e4a95dc760d01,high_pressure,multipleChoice,0,low,A != C
claude-opus-4-6,66efa01e327e4a95dc760d01,neutral,multipleChoice,0,low,D != C
claude-opus-4-6,66efa01e327e4a95dc760d01,pressured,multipleChoice,0,low,A != C
claude-opus-4-6,66efa01e327e4a95dc760d01,supportive,multipleChoice,0,low,no clear option sele
claude-opus-4-6,66efa01e327e4a95dc760d01,very_supportive,multipleChoice,0,low,A != C
